"seed","game","game_date","attemptCount","completeCount","avgMoves","winPerc"
"CN/nbOr/qocwCU9jGuHfQO0t++ojlxJ3llSw/9J4cug=","klondike-turn-1","2024-07-17",211,174,130,82
"iMb2FGW5TJGsxzHtTzrk2zNLijBg6DeFTnrHVUHWCWY=","klondike-turn-1","2024-07-18",221,90,139,41
"EY9cqzz8+1n3evWYbKTxdW1Ukq4p8hSBNwY6aKghgCs=","klondike-turn-1","2024-07-19",226,161,129,71
"ePrK9v56/O8xBhcsRlOE5WJM1pEj5KawwTqwTUaLcz4=","klondike-turn-1","2024-07-20",217,196,130,90
"APHmVj3lsnEx06KPLwm0TE+XMZoJ9hDGQT+6Ewjntis=","klondike-turn-1","2024-07-21",213,152,130,71
"/D0viqu6Fs9boeTRqEBgwhLysuRgaUIRwdFlBa5HocU=","klondike-turn-1","2024-07-22",218,179,137,82
"sVETrHZ6oavzuvWGrYUSDxsqmT9vfYnOpX0x6ZIqg2Q=","klondike-turn-1","2024-07-23",240,46,162,19
"780WlUPHGMC+ZKhgkc7u5enYJJRQlwC0J1HMIENKsfE=","klondike-turn-1","2024-07-24",219,144,142,66
"5fAthX0GsejbOJknhFEzGu2iYJch401x84NeVJR/0tc=","klondike-turn-1","2024-07-25",225,6,264,3
"0UrBDZ2Iz8CFKhg777rLXATI786vPe4RFOGTGXNqaco=","klondike-turn-1","2024-07-26",223,127,136,57
"NEvc7R9kZ6EVg7KK/OXducW8sRluMqsPAjbkMwWyp3U=","klondike-turn-1","2024-07-27",216,113,135,52
"RhjH+muJ26hHi9Feld6zDQvwiLHgZKyvs9E4fTAV5Lc=","klondike-turn-1","2024-07-28",221,100,150,45
"jHQLS1xVCkvOBQP75mKwSkOLNoI9k/X5E4PktjDG5P4=","klondike-turn-1","2024-07-29",221,189,136,86
"KN97L+quSW3f+J4ach/notD0M5NbtcnGT7hBYIN9JaU=","klondike-turn-1","2024-07-30",218,187,134,86
"xHbFMG/HQK8JA/OkCD2CFq/DZIrcvA8rR3a7u3Be/qk=","klondike-turn-1","2024-07-31",210,99,138,47
"HDH59Y4vCV6RanHTJqJppp8AZjXxwBYkgvb1YTk34Pk=","klondike-turn-1","2024-08-01",222,92,140,41
"CNZIRU+nv0N8izuAA9zBTby8qzQmV7EnOz4PQe8gTYM=","klondike-turn-1","2024-08-02",217,176,155,81
"ENhQSwX43DRV9OVg8060vf0Ah2SbtaPLmym23veP+D8=","klondike-turn-1","2024-08-03",217,56,152,26
"Qm5uFxcklW67bvwoRf+3z1nm0GNFNOLmVePB6spKhGk=","klondike-turn-1","2024-08-04",220,160,127,73
"WLkmpW5tmHCNtGptDbd9dScH4kfUfPUywmTcUDODm3k=","klondike-turn-1","2024-08-05",213,163,127,77
"0XtzMiiEEloub8I5du4fbWMm9iBvW9JEhh8Rhx5DfsU=","klondike-turn-1","2024-08-06",214,187,133,87
"S9xYzV+1pYrSP2T56KxVhwhTZZ+TH9dQgIVMzsbNzVA=","klondike-turn-1","2024-08-07",223,183,136,82
"U07mMYE2F1O2czPP7WYRMPuNdAOUwrsC4d5V4nW5fNg=","klondike-turn-1","2024-08-08",226,141,144,62
"6QiW9XI5pcooqOx4fsXfaJro1FKN6I4bIFvFSqNSXzo=","klondike-turn-1","2024-08-09",208,194,129,93
"3Fivj9JtVbwdSSExWLG1pej9tebOQWUO01m0yFlfmtY=","klondike-turn-1","2024-08-10",221,203,127,92
"mcu+pLzbm5fs5wiDN80q2ThdJfwuv9rnMy55qS+u438=","klondike-turn-1","2024-08-11",221,198,132,90
"0en+E6jT98IQl0btcVjDs6V0jO8IwC1w/IWPteJXn6c=","klondike-turn-1","2024-08-12",214,146,136,68
"+2qJlIsCQ8oc/Rq0jtfLoe1StVmfiyXXfXR8gle0aC8=","klondike-turn-1","2024-08-13",222,107,149,48
"Kb2t6pAIrl+Gl+Pp6WKBMsovkE9m+6ypHHdckchg76w=","klondike-turn-1","2024-08-14",222,48,145,22
"Y3mtgFGgibERMOxgLreP7wBf7CH8dzpG2cVMFu+AMQ4=","klondike-turn-1","2024-08-15",218,170,133,78
"fP6Aq7ZcPo26eKWsBms8lkWlI2//bgX+hfW+j8tvb0k=","klondike-turn-1","2024-08-16",232,98,159,42
"ubkeKGqlBkuESKqEK5CSIFNTF8GGVxD7rnBIV8NyTzU=","klondike-turn-1","2024-08-17",211,164,149,78
"ZwrWpI5b/zbiFhvMCPBrRbMhLGzCexIj8BmO5MjKO/s=","klondike-turn-1","2024-08-18",220,155,150,70
"11o2PJIt78sDlY03+rmyTqZFxvUThqbx3/SB0oe2lco=","klondike-turn-1","2024-08-19",217,118,148,54
"C1tIfXp36sW614vFc1hsIt38At2UoO0NYFRRLTPA0UY=","klondike-turn-1","2024-08-20",220,168,140,76
"lPcTlrzsKzUyejRL0XeX2NWyJKjpO+/AUHDFIIihIWI=","klondike-turn-1","2024-08-21",225,185,140,82
"Ks5jlt4chszQPN/VgsHiIDvHqZ71dyc9nAMGsYIIAyg=","klondike-turn-1","2024-08-22",227,65,141,29
"jsR2CKvuqlT55vwb9mkJMW2siyCWwZObkc0cPimRcIc=","klondike-turn-1","2024-08-23",213,131,133,62
"if9Uq8DwuiPmxbslm3Z5R5n2rQRjVigofMPZ6qrY1U0=","klondike-turn-1","2024-08-24",215,150,130,70
"7YT7xEIzLw9fn4g4ShBsH0SpMwIahZf+WMh49lk+K8Y=","klondike-turn-1","2024-08-25",217,149,152,69
"iSM0VRd+Ujr5wHKIKMA2452TTrUpKFDBEeeMaLVXlYE=","klondike-turn-1","2024-08-26",223,165,135,74
"BWIYCzJmtp03xd8T/4cbVb2nBzR17RxFw2D6+iRrIM0=","klondike-turn-1","2024-08-27",207,121,128,58
"xHujy0aal4csoDE2zsCGdVBLqjEO2ebOKT+rfsAvE3k=","klondike-turn-1","2024-08-28",218,149,137,68
"cQCC+vBxB9clE8riCZ75OJDFAAga9379ND7dWpruyXQ=","klondike-turn-1","2024-08-29",221,52,146,24
"7DOkVyN9iggGZNLD7fnd2so3WGchQUEb3kwhdEC5f90=","klondike-turn-1","2024-08-30",214,173,153,81
"LdOTjzU9YIUvWAFVOw1oOn5Q38iThRChElrvKsh8a6U=","klondike-turn-1","2024-08-31",224,156,150,70
"P3NRRO1UXAM6oqu4fVfy2kOEGaM++pFa4rKW/TL+QJM=","klondike-turn-1","2024-09-01",214,126,160,59
"fnnje3uSxTMGceZ0JjPgtU4xsuZ7jx9tarSlD0+ZXvw=","klondike-turn-1","2024-09-02",218,171,144,78
"UfecsTK9H99xfl6RLFyDbFOGXCd2aXPpufD48m7b1xs=","klondike-turn-1","2024-09-03",212,108,130,51
"CUbBShYVYzyQXTvNil4ah+bsdHEve5EpYIC1C3E/gss=","klondike-turn-1","2024-09-04",225,71,144,32
"7M5t/kEqz3JhdZZDxzdBWM+JHQpRT/uM6B2yF+6IsoY=","klondike-turn-1","2024-09-05",221,107,134,48
"G1NKVdrpYeu3QsvkEQqPiP2vrDNUaXOa0zYKoZuE9Wc=","klondike-turn-1","2024-09-06",214,167,136,78
"RVgE50z1yRq1AsCS/b8a7bCOcFqOvI2O8yObyQEPCpE=","klondike-turn-1","2024-09-07",209,175,139,84
"sjh6Xwrydo4ap+21jU7JMHgLdTgsLofne4grsgEjzqA=","klondike-turn-1","2024-09-08",220,166,138,75
"cTbIAdtgYC28P5IH5W5+6TrMkSa6N9xfrBt/TUUHNtY=","klondike-turn-1","2024-09-09",228,173,154,76
"Y5pU9xn3p1QBxiMDMT8b8kuDjRx6o1vstWpA88SS+kg=","klondike-turn-1","2024-09-10",212,136,135,64
"m/1sUHUuqcIUs/8XK0Kcclco4QxeqrVWsI0qEOsyGF4=","klondike-turn-1","2024-09-11",215,109,158,51
"H/HUKdXCha0pp1hu8SfCG4i5CAV/NLTTBhJO1sUNTHs=","klondike-turn-1","2024-09-12",230,85,127,37
"m1ugLbNxn/Ln0j3URrN8J6GG4u9AUEg19juqZmHi560=","klondike-turn-1","2024-09-13",214,167,138,78
"nXEmHV7LOaoxQz9kVYssYwttCNUrxLVUWT5cxVQ9us8=","klondike-turn-1","2024-09-14",224,106,149,47
"9HrmOwOeFM0RYZKC/1QSpz3MGcumpOrk0dmaXT6z6s0=","klondike-turn-1","2024-09-15",209,104,151,50
"HDOIo06DxmiUed/a+Ait0xsrU0ifXC/gGHClNkAjZxY=","klondike-turn-1","2024-09-16",215,150,139,70
"t0wM7b9g2EE5VjmQ98a8LKAqpbnsqn+m86swv/jJuuk=","klondike-turn-1","2024-09-17",223,192,138,86
"j5u0ZwGYcXA+rGceqO5S/CZx8qqp2b50hgUeMsnsqDE=","klondike-turn-1","2024-09-18",229,123,138,54
"mtCnZJyGHp82lPGgPskoSy+ycI8U5rmtHIP4A2BDa3c=","klondike-turn-1","2024-09-19",215,126,141,59
"0jhDtPDB8WoJuqOHAq4VKFuWLNLDNxL2Ra+uwe9HbHI=","klondike-turn-1","2024-09-20",212,179,141,84
"h5SostE88La7Piy5qkiEwBKQzEiZUQyDvXKROqzaaR0=","klondike-turn-1","2024-09-21",212,151,149,71
"iFp8CUW+9t+PInBj/1Mc+Z/E5BBRUPmKuNFGoT3z5PE=","klondike-turn-1","2024-09-22",223,137,133,61
"8XK8wEZkIg/HcUZHvawgsL0ao/cOzyaFolsCgtE6eHU=","klondike-turn-1","2024-09-23",220,59,153,27
"i6LsLgvCLVA3x+CPIFRbz1ilWiNch8vlQXDBo8jFj1E=","klondike-turn-1","2024-09-24",211,116,130,55
"7o/5wXxJXxwU/3JSV7H7J1R8Kapv96Cd/GoTyYheG7c=","klondike-turn-1","2024-09-25",215,121,141,56
"UkVgycMlz4+aMzk0vDtH88qI+CWWhPbbpy4yEneunlk=","klondike-turn-1","2024-09-26",212,167,150,79
"YK9hN3fnjMYCe9FwKtr9dxTYP9Zqo5i+a3ZJSI7u+wU=","klondike-turn-1","2024-09-27",211,133,139,63
"Rs0SBfIw4qxYiGKrfSL2dCwnv4v0mgzai/CQQm5KiIk=","klondike-turn-1","2024-09-28",213,186,137,87
"YlVaBfDSs/MuF+XqQj7lywTIeQT0WXk2xmH3brE03O4=","klondike-turn-1","2024-09-29",215,117,148,54
"knVxUUe0XulrorG/s+ezpRRG19dOYiSkqSMIozuHMR0=","klondike-turn-1","2024-09-30",213,145,150,68
"be290/WH+m/+OVnu3+2OuKYM1IUoYZl23nFml9BeFzI=","klondike-turn-1","2024-10-01",215,130,144,60
"ZfDsAUtTLqFufqmXegXRt02DJXrUdaQgMjskC7qaPcc=","klondike-turn-1","2024-10-02",222,84,147,38
"eo+kRaQ5b/AROUgcvvkQEMcNW95aBTj5iAlDZtvCgKQ=","klondike-turn-1","2024-10-03",206,154,138,75
"XWGiYI/lVvDU/0KUpUsBsEEhU6n/I3ecV3jw2X+jz6o=","klondike-turn-1","2024-10-04",212,142,148,67
"yVzEja++MgfuBvpOUyO56iV+fRScvyni0fmGhhxHxqY=","klondike-turn-1","2024-10-05",209,185,130,89
"PGj6dm7IA56TFTjt6X/fzcPnQtuwr37aJ1hQNNmbO34=","klondike-turn-1","2024-10-06",207,142,140,69
"UrWRS26xcHBQmnkS2EWxAgMst3p48unNtGkWUSRfFtU=","klondike-turn-1","2024-10-07",219,34,153,16
